icao,iata,name,city,state,country,elevation,lat,lon,tz
EYRO,,Rojunai Airport,Rojunai,Panevezys,LT,180,55.6108017,24.2208004,Europe/Vilnius
EYRU,,Jonava Airport,Jonava,,LT,246,55.00999832,24.36330032,Europe/Vilnius
EYSA,SQQ,Siauliai International Airport,Siauliai,,LT,443,55.89390183,23.39500046,Europe/Vilnius
EYSB,HLJ,Barysiai Airport,Barysiai,Siauliai,LT,270,56.0705986,23.55809975,Europe/Vilnius
EYSE,,Seduva Airport,Seduva / Siauliai,Siauliai,LT,259,55.74639893,23.80470085,Europe/Vilnius
EYSI,,Silute Air Base,Silute,Klaipeda-County,LT,59,55.3368988,21.53059959,Europe/Vilnius
EYTL,,Telsiai Airport,Telsiai,Telsiai,LT,410,55.9864006,22.28779984,Europe/Vilnius
EYUT,,Utena Airport,Utena,Utena,LT,620,55.49000168,25.71689987,Europe/Vilnius
EYVI,VNO,Vilnius International Airport,Vilnius,Vilnius,LT,646,54.63410187,25.28580093,Europe/Vilnius
EYVK,,Kyviskes Airfield,Kyviskes,Vilnius,LT,541,54.66830063,25.51580048,Europe/Vilnius
EYVP,,Paluknys Airport,Paluknys,Vilnius,LT,400,54.48484802,24.98737335,Europe/Vilnius
EYZA,,Zarasai Airport,Zarasai,Utena,LT,541,55.75249863,26.25690079,Europe/Riga
FA03,,Southfork Airport,Duette,Florida,US,109,27.60390091,-82.19290161,America/New_York
FA08,,Orlampa Inc Airport,Polk City,Florida,US,139,28.16699982,-81.80809784,America/New_York
FA09,,Arliss M Airport,Fairfield,Florida,US,200,29.34079933,-82.26370239,America/New_York
FA11,,Bird Field,Jennings,Florida,US,150,30.62240028,-83.25930023,America/New_York
FA18,,Devils Garden Strip,La Belle,Florida,US,18,28.4510994,-81.00029755,America/New_York
FA24,,Horseshoe Acres Airpark,Indiantown,Florida,US,9,27.09329987,-80.61219788,America/New_York
FA25,,Black Creek Pass Airport,Tallahasse,Florida,US,95,30.50095,-84.0781,America/New_York
FA26,,Dogwood Farm Airport,Havana,Florida,US,200,30.53720093,-84.45189667,America/New_York
FA27,,Ellsworth Field,Arcadia,Florida,US,60,27.20560074,-81.77719879,America/New_York
FA29,,Lumar Field,Perry,Florida,US,65,30.13080025,-83.54940033,America/New_York
FA30,,Redtail Airstrip,Morriston,Florida,US,65,29.2791996,-82.5,America/New_York
FA32,,Circle P Airport,Perry,Florida,US,83,30.10330009,-83.45030212,America/New_York
FA35,,Lindbergh's Landing Airport,Miami,Florida,US,9,25.61949921,-80.48870087,America/New_York
FA36,,White Farms Airport,Chiefland,Florida,US,46,29.51269913,-82.87480164,America/New_York
FA37,,Wing South Airpark,Naples,Florida,US,9,26.11680031,-81.70310211,America/New_York
FA38,,Woods and Lakes Airpark,Oklawaha,Florida,US,100,29.12360001,-81.88700104,America/New_York
FA40,,Hidden Lake Airport,New Port Richey,Florida,US,30,28.28249931,-82.64569855,America/New_York
FA42,,Sheets Airport,Groveland,Florida,US,118,28.53289986,-81.84670258,America/New_York
FA43,,Dog Island Airport,Carrabelle,Florida,US,4,29.80850029,-84.59570313,America/New_York
FA44,,Willis Gliderport,Boynton Beach,Florida,US,18,26.54809952,-80.21479797,America/New_York
FA46,,Henderson Field,Minneola,Florida,US,90,28.63360024,-81.70809937,America/New_York
FA49,,Shady International Airport,Ocala,Florida,US,102,29.09609985,-82.17900085,America/New_York
FA50,,Wings-N-Wheels Airport,Reddick,Florida,US,82,29.3614006,-82.14980316,America/New_York
FA51,,William's Sky Manor Airport,La Belle,Florida,US,15,26.73900032,-81.5062027,America/New_York
FA54,,Coral Creek Airport,Placida,Florida,US,4,26.85449982,-82.25119781,America/New_York
FA55,,Garnair Airport,Bonifay,Florida,US,105,30.77969933,-85.76830292,America/Chicago
FA60,,Vince's Condominium Association Airport,Lake Placid,Florida,US,115,27.23889923,-81.3859024,America/New_York
FA62,,Santa Fe River Ranch Airport,Alachua,Florida,US,145,29.91690063,-82.48320007,America/New_York
FA63,,Leffler Airport,Alamana,Florida,US,43,28.96360016,-81.12139893,America/New_York
FA64,,Montgomery Ranch Airport,Arcadia,Florida,US,75,27.07449913,-81.58650208,America/New_York
FA69,,Duda Airstrip,Belle Glade,Florida,US,14,26.58779907,-80.63729858,America/New_York
FA71,,The Cedars Airfield,Cedar Key,Florida,US,8,29.22800064,-82.9437027,America/New_York
FA72,,Acres of Diamonds Airpark,Greenwood,Florida,US,134,30.88629913,-85.1638031,America/Chicago
FA74,,Romor Ranch Airport,Ochopee,Florida,US,12,25.98089981,-81.05670166,America/New_York
FA77,,Lowe's Airport,Sarasota,Florida,US,54,27.33090019,-82.29060364,America/New_York
FA80,,Lost Horn Ranch Airport,Ochopee,Florida,US,12,25.96809959,-81.08149719,America/New_York
FA81,,Tavernaero Park Airport,Tavernier,Florida,US,10,25.00869942,-80.53309631,America/New_York
FA83,,Orlando North Airpark,Zellwood,Florida,US,80,28.72640038,-81.65090179,America/New_York
FA88,,Pittman Oaks Airport,Live Oak,Florida,US,83,30.425042,-83.048469,America/New_York
FA99,,Fantasy Field Airstrip,Chehalis,Washington,US,300,46.587833,-122.865778,America/Los_Angeles
FAAB,ALJ,Alexander Bay Airport,Alexander Bay,Northern Cape,ZA,98,-28.57500076,16.5333004,Africa/Johannesburg
FAAD,,Adelaide Airport,Adelaide,Eastern Cape,ZA,1955,-32.68310165,26.2942009,Africa/Johannesburg
FAAE,,Aberdeen Airport,Aberdeen,Eastern Cape,ZA,2461,-32.46670151,24.06669998,Africa/Johannesburg
FAAF,,Andrew's Field Airport,Struisbaai,Western-Cape,ZA,30,-34.76288986,20.03491592,Africa/Johannesburg
FAAG,AGZ,Aggeneys Airport,Aggeneys,Northern Cape,ZA,2648,-29.28179932,18.81389999,Africa/Johannesburg
FAAK,,Askham Airport,Askham,Northern Cape,ZA,2801,-26.9869442,20.77722168,Africa/Johannesburg
FAAL,ADY,Alldays Airport,Alldays,Limpopo,ZA,2600,-22.67900085,29.05550003,Africa/Johannesburg
FAAM,,Amsterdam Airport,Amsterdam,Mpumalanga,ZA,4310,-26.63333321,30.60000038,Africa/Johannesburg
FAAN,,Aliwal North Airport,Aliwal North,Orange-Free-State,ZA,4405,-30.68000031,26.72999954,Africa/Johannesburg
FAAP,,Aviators Paradise Field,,North-West,ZA,3800,-25.69389,27.7825074,Africa/Johannesburg
FAAS,,Ashton Airport,Ashton,Western-Cape,ZA,525,-33.81666565,20.06666756,Africa/Johannesburg
FABA,,Microland Flight Park,Bapsfontein,Gauteng,ZA,5476,-25.97625577,28.3890152,Africa/Johannesburg
FABB,,Brakpan Airport,Brakpan,Gauteng,ZA,5300,-26.23859978,28.30179977,Africa/Johannesburg
FABD,,Burghersdorp Airport,Burgersdorp,Eastern Cape,ZA,4734,-30.97750092,26.30809975,Africa/Johannesburg
FABE,BIY,Bisho Airport,Bisho,Eastern Cape,ZA,1950,-32.89709854,27.27910042,Africa/Johannesburg
FABF,,Barkley East Airport,Barkley East,Eastern Cape,ZA,5940,-30.96666718,27.60416603,Africa/Johannesburg
FABG,,Buffelshoek Airport,,Mpumalanga,ZA,1347,-24.702464,31.587875,Africa/Johannesburg
FABH,,Belfast Aerodrome,Belfast,Mpumalanga,ZA,6250,-25.65874174,30.04157782,Africa/Johannesburg
FABK,,Bushmans Kloof Airport,Bushman's Kloof,Western-Cape,ZA,1050,-32.035,19.0435,Africa/Johannesburg
FABL,BFN,J B M Hertzog International Airport,Bloemfontain,Orange-Free-State,ZA,4458,-29.09269905,26.30240059,Africa/Johannesburg
FABM,,Bethlehem Airport,Bethlehem,Orange-Free-State,ZA,5561,-28.24839973,28.33609962,Africa/Johannesburg
FABO,,Hendrik Potgieter Airport,Bothaville,Orange-Free-State,ZA,4236,-27.36680031,26.62919998,Africa/Johannesburg
FABP,,Black Rock Airport,Santoy,Northern Cape,ZA,3450,-27.129724,22.846255,Africa/Johannesburg
FABR,,Barberton Airport,Umjindi (Barberton),Mpumalanga,ZA,2250,-25.71686874,30.97517967,Africa/Johannesburg
FABS,,Brits Airport,Brits,North-West,ZA,3756,-25.53230095,27.77589989,Africa/Johannesburg
FABT,,Bethesda Road Airport,Bethesda,Eastern Cape,ZA,4630,-31.87319946,24.7968998,Africa/Johannesburg
FABU,UTE,Bultfontein Airport,Bultfontein,Orange-Free-State,ZA,4400,-28.273369,26.135835,Africa/Johannesburg
FABV,,Brandviei Airport,Brandviei,Northern Cape,ZA,2999,-30.4666996,20.4666996,Africa/Johannesburg
FABW,,Beaufort West Airport,Beaufort West,Western-Cape,ZA,2941,-32.29999924,22.67000008,Africa/Johannesburg
FABX,,Beatrix Airport,Virginia,Orange-Free-State,ZA,4518,-28.24500084,26.77190018,Africa/Johannesburg
FABZ,,Bizana Airport,Bizana,Eastern Cape,ZA,2740,-30.86030006,29.86389923,Africa/Johannesburg
FACA,,Monte Carlo Airport,Monte Carlo,Orange-Free-State,ZA,4995,-28.79999924,27.41699982,Africa/Johannesburg
FACB,,Colesberg Airport,Colesberg,Northern Cape,ZA,4639,-30.73390007,25.06500053,Africa/Johannesburg
FACC,,Arathusa Safari Lodge Airport,Arathusa,Mpumalanga,ZA,1200,-24.74416733,31.52249908,Africa/Johannesburg
FACD,CDO,Cradock Airport,Cradock,Eastern Cape,ZA,3110,-32.15670013,25.64559937,Africa/Johannesburg
FACE,,Ceres Airport,Ceres,Western-Cape,ZA,1519,-33.35300064,19.31139946,Africa/Johannesburg
FACF,,Cap St Francis Airport,St Francis,Eastern Cape,ZA,131,-34.18690109,24.83499908,Africa/Johannesburg
FACH,,Cookhouse Airport,Cookhouse,Eastern Cape,ZA,1893,-32.74470139,25.79630089,Africa/Johannesburg
FACI,,Citrusdal Airport,Citrusdal,Western-Cape,ZA,532,-32.61769867,19.0053997,Africa/Johannesburg
FACK,,Christiana Airport,Christiana,North-West,ZA,3978,-27.87770081,25.20179939,Africa/Johannesburg
FACL,,Carolina Airport,Carolina,Mpumalanga,ZA,5420,-26.0781002,30.09250069,Africa/Johannesburg
FACN,,Carnarvon Airport,Carnarvon,Northern Cape,ZA,4160,-30.98859978,22.13170052,Africa/Johannesburg
FACO,,Alkantpan Copper Airport,Cooperton,Northern Cape,ZA,3589,-29.90640068,22.31669998,Africa/Johannesburg
FACR,,Carltonville Airport,Carltonville,Gauteng,ZA,5000,-26.36666679,27.34666634,Africa/Johannesburg
FACT,CPT,Cape Town International Airport,Cape Town,Western-Cape,ZA,151,-33.96480179,18.60169983,Africa/Johannesburg
FACV,,Calvinia Airport,Calvinia,Northern Cape,ZA,3250,-31.50029945,19.72590065,Africa/Johannesburg
FACW,,Clanwilliam Airport,Clanwilliam,Western-Cape,ZA,650,-32.18310165,18.8885994,Africa/Johannesburg
FACX,,Cathcart Airport,Cathcart,Eastern Cape,ZA,3959,-32.28710175,27.13879967,Africa/Johannesburg
FACY,,Stilbaai Airport,Stilbaai,Western-Cape,ZA,266,-34.35179901,21.42480087,Africa/Johannesburg
FADA,,De Aar Airport,De Aar,Northern Cape,ZA,4154,-30.69219971,24.02059937,Africa/Johannesburg
FADB,,Dwaalboom Airport,Dwaalboom,Limpopo,ZA,3652,-24.80719948,26.82970047,Africa/Johannesburg
FADD,,Dundee Airport,Dundee,KwaZulu-Natal,ZA,4219,-28.18309975,30.22249985,Africa/Johannesburg
FADE,,Delmas Airport,Delmas,Mpumalanga,ZA,5075,-26.14166641,28.69166756,Africa/Johannesburg
FADG,,Dordrecht Airport,Dordrecht,Eastern Cape,ZA,5200,-31.38333321,27.03333282,Africa/Johannesburg
FADH,,Durnacol Airport,Durnacol,KwaZulu-Natal,ZA,4317,-28.04610062,30.00639915,Africa/Johannesburg
FADK,DUK,Mubatuba Airport,Mubatuba,KwaZulu-Natal,ZA,210,-28.36840057,32.24810028,Africa/Johannesburg
FADL,,Delareyville Airport,Delareyville,North-West,ZA,4469,-26.67919922,25.47470093,Africa/Johannesburg
FADM,,Kokstad Airport,Kokstad,KwaZulu-Natal,ZA,4084,-30.55649948,29.40819931,Africa/Johannesburg
FADN,,Durban International Airport,Durban,KwaZulu-Natal,ZA,33,-29.9701004,30.95050049,Africa/Johannesburg
FADO,,Dendron Airport,Dendron,Limpopo,ZA,3399,-23.38059998,29.32080078,Africa/Johannesburg
FADP,,Darlington Dam Lodge Airport,Port Elizabeth,Eastern Cape,ZA,847,-33.18320084,25.19319916,Africa/Johannesburg
FADQ,PZL,Zulu Inyala Airport,Phinda,KwaZulu-Natal,ZA,160,-27.84939957,32.30970001,Africa/Johannesburg
FADR,,Dunnottar Airport,Dunnottar,Gauteng,ZA,5241,-26.34970093,28.44190025,Africa/Johannesburg
FADS,,De Doorns Airport,De Doorns,Western-Cape,ZA,1626,-33.455557,19.684493,Africa/Johannesburg
FADU,,Walkersons Field,,Mpumalanga,ZA,6041,-25.36278,30.18778,Africa/Johannesburg
FADV,,Devon Airport,Devon,Gauteng,ZA,5460,-26.35899925,28.78969955,Africa/Johannesburg
FADX,,Delta 200 Airstrip,Koeberg,Western-Cape,ZA,220,-33.64949354,18.47187996,Africa/Johannesburg
FADY,,De Aar Military Airport,De Aar,Northern Cape,ZA,4037,-30.63650894,23.91972542,Africa/Johannesburg
FADZ,,Drakensberg Gardens Airport,Drakensberg Gardens,KwaZulu-Natal,ZA,5948,-29.75,29.25,Africa/Johannesburg
FAEC,,Estcourt Airport,Estcourt,KwaZulu-Natal,ZA,4262,-29.04719925,29.91060066,Africa/Johannesburg
FAED,,Edenburg Airport,Edenburg,Orange-Free-State,ZA,4509,-29.75,25.89999962,Africa/Johannesburg
FAEG,,Egnep Airport,Egnep,Limpopo,ZA,2299,-24.56699944,30.31699944,Africa/Johannesburg
FAEL,ELS,Ben Schoeman Airport,East London,Eastern Cape,ZA,435,-33.03559875,27.82589912,Africa/Johannesburg
FAEM,EMG,Empangeni Airport,Empangeni,KwaZulu-Natal,ZA,251,-28.71999931,31.88999939,Africa/Johannesburg
FAEO,,Ermelo Airport,Ermelo,Mpumalanga,ZA,5700,-26.49559975,29.97979927,Africa/Johannesburg
FAER,ELL,Ellisras Matimba Airport,Ellisras,Limpopo,ZA,2799,-23.72669983,27.68829918,Africa/Johannesburg
FAES,,Eshowe Airport,Eshowe,KwaZulu-Natal,ZA,1601,-28.88019943,31.45490074,Africa/Johannesburg
FAET,,Elliot Airport,Elliot,Eastern Cape,ZA,5028,-31.30690002,27.84950066,Africa/Johannesburg
FAFB,FCB,Ficksburg Sentraoes Airport,Ficksburg,Orange-Free-State,ZA,5315,-28.82309914,27.90889931,Africa/Johannesburg
FAFF,,Frankfort Airport,Frankfort,Orange-Free-State,ZA,5176,-27.28540039,28.51530075,Africa/Johannesburg
FAFG,,Flamingo Vlei Airport,Flamingo Vlei,Northern Cape,ZA,3248,-30.49099922,21.12170029,Africa/Johannesburg
FAFK,,Fisantekraal Airport,Fisantekraal,Western-Cape,ZA,410,-33.77000046,18.73999977,Africa/Johannesburg
FAFO,,Fort Beaufort Airport,Fort Beaufort,Eastern Cape,ZA,1581,-32.79050064,26.57769966,Africa/Johannesburg
FAFR,,Fraserburg Airport,Fraseburg,Northern Cape,ZA,4180,-31.93390083,21.50250053,Africa/Johannesburg
FAFU,,Fraaiuitzicht Airport,Fraaiuitzicht,Orange-Free-State,ZA,4841,-27.31699944,27.25,Africa/Johannesburg
FAFW,,Freeway Airport,Kromdraai,Gauteng,ZA,3819,-25.47719955,28.29000092,Africa/Johannesburg
FAGA,,Grange Airport,Umzimkulu,Eastern Cape,ZA,2600,-30.2670002,29.96699905,Africa/Johannesburg
FAGC,GCJ,Grand Central Airport,Midrand,Gauteng,ZA,5325,-25.98629951,28.14010048,Africa/Johannesburg
FAGG,GRJ,George Airport,George,Western-Cape,ZA,648,-34.00559998,22.37890053,Africa/Johannesburg
FAGH,,Glen Grey Airport,Emmaus,KwaZulu-Natal,ZA,3500,-28.83333397,29.46666718,Africa/Johannesburg
FAGI,GIY,Giyani Airport,Giyani,Limpopo,ZA,1584,-23.2833004,30.64999962,Africa/Johannesburg
FAGJ,,Gifvlei Airport,Gifvlei,Northern Cape,ZA,3199,-30.38330078,20.0333004,Africa/Johannesburg
FAGL,,Groblersdal Kob Airport,Groblersdal,Mpumalanga,ZA,3051,-25.18689919,29.40329933,Africa/Johannesburg
FAGM,QRA,Rand Airport,Johannesburg,Gauteng,ZA,5483,-26.24250031,28.15119934,Africa/Johannesburg
FAGO,,Gowrie Airport,,Mpumalanga,ZA,1200,-24.7371653,31.56028748,Africa/Johannesburg
FAGR,,Graaff Reinet Airport,Graaff-Reinet,Eastern Cape,ZA,2604,-32.1935997,24.54140091,Africa/Johannesburg
FAGS,,Giants Castle Airport,Giant'S Castle Game Reserve,KwaZulu-Natal,ZA,6086,-29.2696991,29.56609917,Africa/Johannesburg
FAGT,,Grahamstown Airport,Grahamstown,Eastern Cape,ZA,2135,-33.28469849,26.49810028,Africa/Johannesburg
FAGV,,Gravelotte Airport,Gravelotte,Limpopo,ZA,1650,-23.91670036,30.70000076,Africa/Johannesburg
FAGW,,Magwa Airport,Magwa,Eastern Cape,ZA,1823,-31.39394188,29.69347,Africa/Johannesburg
FAGY,,Greytown Airport,Greytown,KwaZulu-Natal,ZA,3531,-29.12199974,30.58670044,Africa/Johannesburg
FAHA,,Harmony Airport,Virginia,Orange-Free-State,ZA,4399,-28.07869911,26.86120033,Africa/Johannesburg
FAHB,,Hartebeespoortdam Airport,Hartebeespoort,Limpopo,ZA,3740,-24.50239944,28.07909966,Africa/Johannesburg
FAHC,,Howick Airport,Howick,KwaZulu-Natal,ZA,3619,-29.55279922,30.21109962,Africa/Johannesburg
FAHD,,Humansdorp Airport,Humansdorp,Eastern Cape,ZA,345,-34.03659821,24.78890038,Africa/Johannesburg
FAHE,,Pullenshope Hendrina Airport,Hendrina,Mpumalanga,ZA,5171,-25.97780037,29.6189003,Africa/Johannesburg
FAHF,,Henrys Flats Airport,Henry'S Flats,Eastern Cape,ZA,1709,-33.04610062,25.71689987,Africa/Johannesburg
FAHG,,Heidelburg Airport,Heidelburg,Gauteng,ZA,5089,-26.51000023,28.38999939,Africa/Johannesburg
FAHH,,Hibberdene Airport,Hibberdene,KwaZulu-Natal,ZA,89,-30.62999916,30.52000046,Africa/Johannesburg
FAHI,,Halfweg Airport,Halfweg,Northern Cape,ZA,3159,-30.01329994,20.13920021,Africa/Johannesburg
FAHJ,,Harding Airport,Harding,KwaZulu-Natal,ZA,2890,-30.56669998,29.88330078,Africa/Johannesburg
FAHK,,Haakdoornboom Airport,Haakdoornboom,Gauteng,ZA,4055,-25.58720016,28.11580086,Africa/Johannesburg
FAHL,HLW,Hluhluwe Airport,Hluhluwe,KwaZulu-Natal,ZA,249,-28.01660499,32.27517128,Africa/Johannesburg
FAHO,,Heilbron Airport,Heilbron,Orange-Free-State,ZA,5200,-27.27860069,27.99559975,Africa/Johannesburg
FAHP,,Hoopstad Airport,Hoopstad,Orange-Free-State,ZA,4131,-27.82169914,25.91690063,Africa/Johannesburg
FAHR,HRS,Harrismith Airport,Harrismith,Orange-Free-State,ZA,5585,-28.23509979,29.10619926,Africa/Johannesburg
FAHS,HDS,Hoedspruit Air Force Base Airport,Hoedspruit,Limpopo,ZA,1743,-24.36860085,31.04870033,Africa/Johannesburg
FAHT,,Hoedspruit Airport,Hoedspruit,Limpopo,ZA,1801,-24.35169983,30.94939995,Africa/Johannesburg
FAHU,,H M S Bastard Memorial Airport,H.M.S.Bastard Memorial,KwaZulu-Natal,ZA,4701,-30.54249954,29.49900055,Africa/Johannesburg
FAHV,,Gariep Dam Airport,Hendrik Verwoerd dam,Orange-Free-State,ZA,4176,-30.56220055,25.52829933,Africa/Johannesburg
FAIA,,Itala Airport,Itala,KwaZulu-Natal,ZA,2665,-27.48670006,31.17110062,Africa/Johannesburg
FAID,,Idutywa Airport,Idutywa,Eastern Cape,ZA,2530,-32.09999847,28.31669998,Africa/Johannesburg
FAIO,,Odi Airport,Lerulaneng,North-West,ZA,3862,-25.54999924,27.93300056,Africa/Johannesburg
FAIS,,Isithebe Airport,Nyoni,KwaZulu-Natal,ZA,313,-29.10555649,31.40749931,Africa/Johannesburg
FAIV,,Ingwavuma Airport,Ingwavuma,KwaZulu-Natal,ZA,2100,-27.11709976,32.00870132,Africa/Johannesburg
FAIW,,Indwe Airport,Indwe,Eastern Cape,ZA,4167,-31.48333359,27.35000038,Africa/Johannesburg
FAJF,,Jagersfontain Airport,Jagersfontain,Orange-Free-State,ZA,4714,-29.76250076,25.43300056,Africa/Johannesburg
FAJP,,Joubertina Airport,Joubertina,Eastern Cape,ZA,2007,-33.83119965,23.83009911,Africa/Johannesburg
FAJV,,Jansenville Airport,Jansenville,Eastern Cape,ZA,1430,-32.93909836,24.67070007,Africa/Johannesburg
FAKA,,Kagga Kamma Airport,Kagga Kamma Private Game Reserve,Western-Cape,ZA,3494,-32.74699402,19.56209946,Africa/Johannesburg
FAKB,,Kosibaai Airport,Kosi Bay,KwaZulu-Natal,ZA,140,-27.03333282,32.75,Africa/Johannesburg
FAKD,KXE,P C Pelser Airport,Klerksdorp,North-West,ZA,4444,-26.87109947,26.71800041,Africa/Johannesburg
FAKE,,Keimouth Airport,Keimouth,Eastern Cape,ZA,222,-32.70000076,28.35000038,Africa/Johannesburg
FAKF,,Koffee Bay Airport,Koffee Bay,Eastern Cape,ZA,10,-31.96389961,29.14909935,Africa/Johannesburg
FAKG,,Komati Power Station Airport,Komati Power Station,Mpumalanga,ZA,5289,-26.09329987,29.45560074,Africa/Johannesburg
FAKH,,Kenhardt Airport,Kenhardt,Northern Cape,ZA,2723,-29.32670021,21.18860054,Africa/Johannesburg
FAKI,,Kobb Inn Airport,Kobb Inn,Eastern Cape,ZA,147,-32.433799,28.683467,Africa/Johannesburg
FAKK,,Kakamas Airport,Kakamas,Northern Cape,ZA,2322,-28.79999924,20.63299942,Africa/Johannesburg
FAKL,,Kriel Airport,Kriel,Mpumalanga,ZA,5262,-26.25110054,29.19470024,Africa/Johannesburg
FAKM,KIM,Kimberley Airport,Kimberley,Northern Cape,ZA,3950,-28.80279922,24.76519966,Africa/Johannesburg
FAKN,MQP,Kruger Mpumalanga International Airport,Mpumalanga,Mpumalanga,ZA,2829,-25.38319969,31.10560036,Africa/Johannesburg
FAKO,,Komga Airport,Komga,Eastern Cape,ZA,2178,-32.59280014,27.87579918,Africa/Johannesburg
FAKP,KOF,Komatipoort Airport,Komatipoort,Mpumalanga,ZA,541,-25.44029999,31.93000031,Africa/Johannesburg
FAKR,,Krugersdorp Airport,Krugersdorp,Gauteng,ZA,5499,-26.08099937,27.72570038,Africa/Johannesburg
FAKS,,Kroonstad Airport,Kroonstad,Orange-Free-State,ZA,4700,-27.66060066,27.31579971,Africa/Johannesburg
FAKT,,Kitty Hawk Airport,Boschkop,Gauteng,ZA,4619,-25.86000061,28.45000076,Africa/Johannesburg
FAKU,KMH,Johan Pienaar Airport,Kuruman,Northern Cape,ZA,4382,-27.45669937,23.41139984,Africa/Johannesburg
FAKV,,Koffyfontein Min Airport,Koffyfontein,Orange-Free-State,ZA,3996,-29.43939972,24.98859978,Africa/Johannesburg
FAKW,,Kareedouw Airport,Kareedouw,Eastern Cape,ZA,1050,-33.96666718,24.29999924,Africa/Johannesburg
FAKX,,Kenton on Sea Airport,Kenton On Sea,Eastern Cape,ZA,172,-33.66930008,26.63089943,Africa/Johannesburg
FAKZ,KLZ,Kleinsee Airport,Kleinsee,Northern Cape,ZA,270,-29.68840027,17.09399986,Africa/Johannesburg
FALA,HLA,Lanseria Airport,Johannesburg,Gauteng,ZA,4517,-25.93849945,27.92609978,Africa/Johannesburg
FALB,,Ladybrand Af Airport,Ladybrand,Orange-Free-State,ZA,5180,-29.18110085,27.45359993,Africa/Johannesburg
FALC,LMR,Lime Acres Finsch Mine Airport,Lime Acres,Northern Cape,ZA,4900,-28.36009979,23.43910027,Africa/Johannesburg
FALD,LDZ,Londolozi Airport,Londolozi,Mpumalanga,ZA,1300,-24.75020027,31.47570038,Africa/Johannesburg
FALE,DUR,King Shaka International Airport,Durban,KwaZulu-Natal,ZA,295,-29.61444444,31.11972222,Africa/Johannesburg
FALF,,Loeriesfontein Airport,Loeriesfontein,Northern Cape,ZA,2997,-30.90640068,19.4253006,Africa/Johannesburg
FALH,,Lohathla Military Airport,Lohathla,Northern Cape,ZA,4500,-28.03680038,23.09869957,Africa/Johannesburg
FALI,,Lichtenburg Airport,Lichtenburg,North-West,ZA,4875,-26.17569923,26.18460083,Africa/Johannesburg
FALK,LUJ,Lusikisiki Airport,Lusikisiki,Eastern Cape,ZA,1831,-31.36669922,29.58329964,Africa/Johannesburg
FALL,,Lydenburg Airport,Lydenburg,Mpumalanga,ZA,4882,-25.10330009,30.41419983,Africa/Johannesburg
FALM,,Makhado Air Force Base Airport,Louis Trichardt Southwest,Limpopo,ZA,3069,-23.15990067,29.69650078,Africa/Johannesburg
FALO,LCD,Louis Trichardt Airport,Louis Trichardt,Limpopo,ZA,3025,-23.06189919,29.86470032,Africa/Johannesburg
FALQ,,El Mirador Airport,Ardmore,KwaZulu-Natal,ZA,3897,-28.98611069,29.47972298,Africa/Johannesburg
FALR,,Steytlerville Airport,Steytlerville,Eastern Cape,ZA,1450,-33.3370018,24.32139969,Africa/Johannesburg
FALS,,Somersveld Airport,Somersveld,Western-Cape,ZA,196,-33.24622726,18.47999763,Africa/Johannesburg
FALW,SDB,Langebaanweg Airport,Langebaanweg,Western-Cape,ZA,108,-32.96889877,18.1602993,Africa/Johannesburg
FALY,LAY,Ladysmith Airport,Ladysmith,KwaZulu-Natal,ZA,3548,-28.58169937,29.74970055,Africa/Johannesburg
FAMA,,Matatiele Airport,Matatiele,KwaZulu-Natal,ZA,4762,-30.32220078,28.7942009,Africa/Johannesburg
FAMB,,Middelburg Airport,Middelburg,Mpumalanga,ZA,4886,-25.68479919,29.44020081,Africa/Johannesburg
FAMC,,Middelburg 2 Airport,Cape Town,Eastern Cape,ZA,4022,-31.54719925,25.02939987,Africa/Johannesburg
FAMD,AAM,Malamala Airport,Malamala,Mpumalanga,ZA,1124,-24.81809998,31.54459953,Africa/Johannesburg
FAMF,,Malabar Airport,Malabar,Northern Cape,ZA,3348,-29.01189995,23.84740067,Africa/Johannesburg
FAMG,MGH,Margate Airport,Margate,KwaZulu-Natal,ZA,495,-30.85740089,30.34300041,Africa/Johannesburg
FAMH,MEZ,Musina(Messina) Airport,Musina,Limpopo,ZA,1904,-22.3560009,29.98620033,Africa/Johannesburg
FAMI,,Marble Hall Airport,Marble Hall,Mpumalanga,ZA,2980,-24.9890995,29.28310013,Africa/Johannesburg
FAMJ,,Majuba Power Station Airport,Amerspoort,Mpumalanga,ZA,5600,-27.07929993,29.7784996,Africa/Johannesburg
FAMK,,Mafeking Airport,Mafeking,North-West,ZA,4201,-25.81666756,25.61666679,Africa/Johannesburg
FAML,,Manyani Game Lodge Airport,Mafeking,North-West,ZA,4383,-25.81669998,25.7166996,Africa/Johannesburg
FAMM,MBD,Mmabatho International Airport,Mafeking,North-West,ZA,4181,-25.79840088,25.54800034,Africa/Johannesburg
FAMN,LLE,Riverside Airport,Malelane,Mpumalanga,ZA,1024,-25.43000031,31.57670021,Africa/Johannesburg
FAMO,MZY,Mossel Bay Airport,Mossel Bay,Western-Cape,ZA,531,-34.15829849,22.05859947,Africa/Johannesburg
FAMP,,Madimbo Airport,Matshakatini,Limpopo,ZA,2116,-22.37470055,30.88159943,Africa/Johannesburg
FAMQ,,Maclear Airport,Maclear,Eastern Cape,ZA,4106,-31.08329964,28.37639999,Africa/Johannesburg
FAMS,MEZ,Morningside Farm Airport,Silveroaks,North-West,ZA,4251,-25.7045002,26.9090004,Africa/Johannesburg
